Time,System Demand
03/06/2026 17:25,18738.85
03/06/2026 17:26,18751.21
03/06/2026 17:27,18739.43
03/06/2026 17:28,18771.59
03/06/2026 17:29,18698.91
03/06/2026 17:30,18678.16
03/06/2026 17:31,18683.19
03/06/2026 17:32,18659.56
03/06/2026 17:33,18690.96
03/06/2026 17:34,18674.65
03/06/2026 17:35,18649.68
03/06/2026 17:36,18667.83
03/06/2026 17:37,18643.88
03/06/2026 17:38,18637.74
03/06/2026 17:39,18623.27
03/06/2026 17:40,18627.83
03/06/2026 17:41,18631.95
03/06/2026 17:42,18612.16
03/06/2026 17:43,18665.48
03/06/2026 17:44,18658.25
03/06/2026 17:45,18644.78
03/06/2026 17:46,18646.09
03/06/2026 17:47,18629.47
03/06/2026 17:48,18673.13
03/06/2026 17:49,18627.57
03/06/2026 17:50,18597.86
03/06/2026 17:51,18627.2
03/06/2026 17:52,18591.58
03/06/2026 17:53,18624.79
03/06/2026 17:54,18625.6
03/06/2026 17:55,18610.8
03/06/2026 17:56,18611.94
03/06/2026 17:57,18614.39
03/06/2026 17:58,18564.54
03/06/2026 17:59,18591.01
03/06/2026 18:00,18566.67
03/06/2026 18:01,18510.85
03/06/2026 18:02,18501.03
03/06/2026 18:03,18490.14
03/06/2026 18:04,18512.13
03/06/2026 18:05,17317.24
03/06/2026 18:06,17329.5
03/06/2026 18:07,17359.81
03/06/2026 18:08,17409.33
03/06/2026 18:09,17545.66
03/06/2026 18:10,17589.51
03/06/2026 18:11,17589.41
03/06/2026 18:12,17627.08
03/06/2026 18:13,17661.56
03/06/2026 18:14,17718.97
03/06/2026 18:15,17724.2
03/06/2026 18:16,17733.98
03/06/2026 18:17,17776.23
03/06/2026 18:18,17764.15
03/06/2026 18:19,17860.07
03/06/2026 18:20,17818.97
03/06/2026 18:21,17843.58
03/06/2026 18:22,17833.92
03/06/2026 18:23,17867.58
03/06/2026 18:24,17918.79
03/06/2026 18:25,17864.86
03/06/2026 18:26,17857.75
03/06/2026 18:27,17887.14
03/06/2026 18:28,17881.81
03/06/2026 18:29,17923.22
