   1,        0,  6365,  4232,-10601,    -4,    56,    23,   -77,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   2,      833,  3874,  6618,-10489,     3,    39,    45,   -81,     3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   3,     1666,   893,  8541, -9437,    -2,    22,    61,   -79,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   4,     2499, -1830,  9830, -7996,     4,     0,    72,   -71,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   5,     3332, -4268, 10589, -6299,    23,   -21,    79,   -55,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   6,     4165, -6650, 10511, -3836,    25,   -43,    85,   -39,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   7,     4998, -8520,  9432,  -892,    20,   -60,    82,   -22,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   8,     5831, -9792,  7961,  1835,     4,   -70,    72,     1,     3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   9,     6664,-10592,  6284,  4302,    -6,   -79,    58,    21,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  10,     7497,-10527,  3838,  6667,   -21,   -82,    41,    42,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  11,     8330, -9491,   928,  8544,   -19,   -82,    21,    57,    -4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  12,     9163, -8047, -1789,  9830,    -6,   -70,     0,    69,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  13,     9996, -6360, -4240, 10604,     3,   -55,   -21,    76,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  14,    10829, -3871, -6624, 10493,    -2,   -40,   -45,    80,    -5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  15,    11662,  -896, -8542,  9436,    -1,   -22,   -62,    78,    -5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  16,    12495,  1829, -9832,  7992,   -12,     0,   -72,    69,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  17,    13328,  4266,-10588,  6305,   -17,    22,   -79,    55,    -2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  18,    14161,  6640,-10502,  3840,   -23,    44,   -85,    41,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  19,    14994,  8521, -9430,   891,   -18,    61,   -83,    23,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  20,    15827,  9793, -7961, -1839,    -7,    71,   -72,     0,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
